31/5/10,26.9,,,,,,,,
1/6/10,28.34,,,,,,,,
2/6/10,28.92,,,,,,,,
3/6/10,26.11,,,,,,,,
4/6/10,26.73,,,,,,,,
7/6/10,31.03,,,,,,,,
8/6/10,29.21,,,,,,,,
9/6/10,28.92,,,,,,,,
10/6/10,27.13,,,,,,,,
11/6/10,24.79,,,,,,,,
15/6/10,24.49,,,,,,,,
16/6/10,22.9,,,,,,,,
17/6/10,22.9,,,,,,,,
18/6/10,20.42,,,,,,,,
21/6/10,20.32,,,,,,,,
22/6/10,21.22,,,,,,,,
23/6/10,22.83,,,,,,,,
24/6/10,21.98,,,,,,,,
25/6/10,24.35,,,,,,,,
28/6/10,25.68,,,,,,,,
29/6/10,25.76,,,,,,,,
30/6/10,28.59,,,,,,,,
1/7/10,31.25,,,,,,,,
2/7/10,28.61,,,,,,,,
5/7/10,27.64,,,,,,,,
6/7/10,26.75,,,,,,,,
7/7/10,25.83,,,,,,,,
8/7/10,23.47,,,,,,,,
9/7/10,20.78,,,,,,,,
12/7/10,20.77,,,,,,,,
13/7/10,21.62,,,,,,,,
14/7/10,20.05,,,,,,,,
15/7/10,20.35,,,,,,,,
16/7/10,21.34,,,,,,,,
19/7/10,24.25,,,,,,,,
20/7/10,22.22,,,,,,,,
21/7/10,21.23,,,,,,,,
22/7/10,21.85,,,,,,,,
23/7/10,20.36,,,,,,,,
26/7/10,20.42,,,,,,,,
27/7/10,20.48,,,,,,,,
28/7/10,19.72,,,,,,,,
29/7/10,20.29,,,,,,,,
30/7/10,20.73,,,,,,,,
2/8/10,19.86,,,,,,,,
3/8/10,19.55,,,,,,,,
4/8/10,19.93,,,,,,,,
5/8/10,20.96,,,,,,,,
6/8/10,20.66,,,,,,,,
9/8/10,20.23,,,,,,,,
10/8/10,20.61,,,,,,,,
11/8/10,23.46,,,,,,,,
12/8/10,25.16,,,,,,,,
13/8/10,24.34,,,,,,,,
16/8/10,24.04,,,,,,,,
17/8/10,22.88,,,,,,,,
18/8/10,22.16,,,,,,,,
19/8/10,22.6,,,,,,,,
20/8/10,23.81,,,,,,,,
23/8/10,23.77,,,,,,,,
24/8/10,24.84,,,,,,,,
25/8/10,27.22,,,,,,,,
26/8/10,25.15,,,,,,,,
27/8/10,24.62,,,,,,,,
30/8/10,23.42,,,,,,,,
31/8/10,24.55,,,,,,,,
1/9/10,22.83,,,,,,,,
2/9/10,21.98,,,,,,,,
3/9/10,21.34,,,,,,,,
6/9/10,20.12,,,,,,,,
7/9/10,20.16,,,,,,,,
8/9/10,20.95,,,,,,,,
9/9/10,19.84,,,,,,,,
10/9/10,19.44,,,,,,,,
13/9/10,19.21,,,,,,,,
14/9/10,18.08,,,,,,,,
15/9/10,17.32,,,,,,,,
16/9/10,19.38,,,,,,,,
17/9/10,18.93,,,,,,,,
20/9/10,18.99,,,,,,,,
21/9/10,19.08,,,,,,,,
22/9/10,18.92,,,,,,,,
23/9/10,18.31,,,,,,,,
24/9/10,18.86,,,,,,,,
27/9/10,17.36,,,,,,,,
28/9/10,17.79,,,,,,,,
29/9/10,18.38,,,,,,,,
30/9/10,19.71,,,,,,,,
1/10/10,19.64,,,,,,,,
4/10/10,19.08,,,,,,,,
5/10/10,19.22,,,,,,,,
6/10/10,18.82,,,,,,,,
7/10/10,19.18,,,,,,,,
8/10/10,19.01,,,,,,,,
11/10/10,19.01,,,,,,,,
12/10/10,21.23,,,,,,,,
13/10/10,20.5,,,,,,,,
14/10/10,19.6,,,,,,,,
15/10/10,19.14,,,,,,,,
18/10/10,20.62,,,,,,,,
19/10/10,19.91,,,,,,,,
20/10/10,20.45,,,,,,,,
21/10/10,20.6,,,,,,,,
22/10/10,19.46,,,,,,,,
25/10/10,19.51,,,,,,,,
26/10/10,19.91,,,,,,,,
27/10/10,20.63,,,,,,,,
28/10/10,20.05,,,,,,,,
29/10/10,20.32,,,,,,,,
1/11/10,20.66,,,,,,,,
2/11/10,20.29,,,,,,,,
3/11/10,20.52,,,,,,,,
4/11/10,18.34,,,,,,,,
5/11/10,18.3,,,,,,,,
8/11/10,18.6,,,,,,,,
9/11/10,19.18,,,,,,,,
10/11/10,19.96,,,,,,,,
11/11/10,19.34,,,,,,,,
12/11/10,20.39,,,,,,,,
